,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
21,Miller,Owen,680911,millo002,milleow01,24655,2021.0,2024.0
24,Edman,Tommy,669242,edmat001,edmanto01,19470,2019.0,2024.0
30,Meeker,James,703231,meekj001,meekeja01,-1,2024.0,2024.0
31,Castillo,Diego,660636,castd004,castidi02,19906,2022.0,2024.0
62,Cessa,Luis,570666,cessl001,cessalu01,13345,2016.0,2023.0
73,Zastryzny,Rob,642239,zastr001,zastrro01,15094,2016.0,2024.0
80,Schneider,Davis,676914,schnd001,schneda03,23565,2023.0,2024.0
157,Díaz,Edwin,621242,diaze006,diazed04,14710,2016.0,2024.0
160,Lopez,Nicky,670032,lopen001,lopezni01,19339,2019.0,2024.0
180,Lowe,Brandon,664040,loweb001,lowebr01,18882,2018.0,2024.0
189,Junis,Jakob,596001,junij001,junisja01,13619,2017.0,2024.0
190,Neris,Héctor,593576,nerih001,nerishe01,11804,2014.0,2024.0
195,Otto,Glenn,657248,ottog001,ottogl01,21366,2021.0,2023.0
203,Chavez,Jesse,445926,chavj001,chaveje01,5448,2008.0,2024.0
210,Goodman,Hunter,696100,goodh001,goodmhu01,29715,2023.0,2024.0
225,Giolito,Lucas,608337,gioll001,giolilu01,15474,2016.0,2023.0
227,Olivares,Edward,658668,olive001,olivaed02,19698,2020.0,2024.0
236,Locastro,Tim,641796,locat001,locasti01,15124,2017.0,2023.0
241,Beasley,Jeremy,676886,beasj001,beaslje01,20205,2020.0,2022.0
269,Assad,Javier,665871,assaj001,assadja01,21741,2022.0,2024.0
272,Plawecki,Kevin,608700,plawk001,plaweke01,13807,2015.0,2022.0
284,Chourio,Jackson,694192,chouj001,chourja01,28806,2024.0,2024.0
290,Campero,Gustavo,672569,campg001,campegu01,-1,2024.0,2024.0
334,Bradish,Kyle,680694,bradk001,bradiky01,24586,2022.0,2024.0
348,Cabrera,Oswaldo,665828,cabro002,cabreos01,21707,2022.0,2024.0
367,Tsutsugo,Yoshi,660294,tsuty001,tsutsyo01,27459,2020.0,2022.0
380,Acton,Garrett,670183,actog001,actonga01,27583,2023.0,2023.0
406,Witt,Bobby,677951,wittb002,wittbo02,25764,2022.0,2024.0
409,Lowrie,Jed,476704,lowrj001,lowrije01,4418,2008.0,2022.0
414,Bote,David,623520,boted002,boteda01,14593,2018.0,2024.0
418,Rodriguez,José,679563,rodrj008,rodrijo09,24388,2023.0,2023.0
425,Turnbull,Spencer,605513,turns003,turnbsp01,16207,2018.0,2024.0
443,Winker,Jesse,608385,winkj002,winkeje01,13590,2017.0,2024.0
451,Price,David,456034,pricd001,priceda01,3184,2008.0,2022.0
462,Tyler,Kyle,667725,tylek001,tylerky01,22092,2021.0,2024.0
467,Wisdom,Patrick,621550,wisdp001,wisdopa01,13602,2018.0,2024.0
476,Kreidler,Ryan,668952,kreir001,kreidry01,25867,2022.0,2024.0
493,Crochet,Garrett,676979,crocg001,crochga01,27463,2020.0,2024.0
506,Brice,Austin,592169,brica001,briceau01,17237,2016.0,2022.0
512,Davidson,Matt,571602,davim005,davidma02,7226,2013.0,2022.0
520,May,Trevor,543507,may-t001,maytr01,6398,2014.0,2023.0
522,Estrada,Jeremiah,669093,estrj002,estraje01,22210,2022.0,2024.0
548,Marrero,Deven,571918,marrd001,marrede01,13325,2015.0,2022.0
549,Waldron,Matt,663362,waldm003,waldrma01,25550,2023.0,2024.0
567,Rodríguez,Eduardo,593958,rodre004,rodried05,13164,2015.0,2024.0
575,Wilson,Steven,621051,wilss002,wilsost02,20353,2022.0,2024.0
593,Gray,Jon,592351,grayj003,grayjo02,14916,2015.0,2024.0
598,Lester,Josh,623507,lestj002,lestejo02,17737,2022.0,2023.0
624,Rutschman,Adley,668939,rutsa001,rutscad01,26288,2022.0,2024.0
627,Thompson,Trayce,572204,thomt002,thomptr01,9952,2015.0,2023.0
646,Holmes,Clay,605280,holmc001,holmecl01,13649,2018.0,2024.0
664,Manzardo,Kyle,700932,manzk001,manzaky01,-1,2024.0,2024.0
673,Ramsey,Lane,682010,ramsl001,ramsela02,25071,2023.0,2023.0
678,Judge,Aaron,592450,judga001,judgeaa01,15640,2016.0,2024.0
693,Vasquez,Andrew,607755,vasqa002,vasquan02,19482,2018.0,2023.0
707,Cueto,Johnny,456501,cuetj001,cuetojo01,6893,2008.0,2024.0
719,Romo,Sergio,489265,romos001,romose01,9817,2008.0,2022.0
736,Stallings,Jacob,607732,stalj001,stallja01,13723,2016.0,2024.0
737,Burdick,Peyton,680814,burdp001,burdipe01,25459,2022.0,2023.0
744,Burke,Brock,656271,burkb001,burkebr01,17968,2019.0,2024.0
746,Nootbaar,Lars,663457,nootl001,nootbla01,21454,2021.0,2024.0
750,Rom,Drew,680723,rom-d001,romdr01,24602,2023.0,2023.0
752,LeMahieu,DJ,518934,lemad001,lemahdj01,9874,2011.0,2024.0
757,Reyes,Víctor,622682,reyev001,reyesvi01,15487,2018.0,2022.0
767,Dunand,Joe,656388,dunaj001,dunanjo01,19727,2022.0,2022.0
788,Barría,Jaime,642545,barrj003,barrija01,18356,2018.0,2023.0
804,Jackson,Alex,656577,jacka002,jacksal02,17276,2019.0,2024.0
822,Longoria,Evan,446334,longe001,longoev01,9368,2008.0,2023.0
823,Santos,Gregory,666619,santg001,santogr01,21894,2021.0,2024.0
840,Mejía,J. C.,650496,mejij002,mejiaje02,20617,2021.0,2023.0
845,Langford,Wyatt,694671,langw001,langfwy01,33333,2024.0,2024.0
851,Polanco,Jorge,593871,polaj001,polanjo01,13152,2014.0,2024.0
853,Cox,Austin,680735,cox-a001,coxau01,24604,2023.0,2023.0
859,Mengden,Daniel,596043,mengd001,mengdda01,16980,2016.0,2022.0
869,Kirk,Alejandro,672386,kirka001,kirkal01,22581,2020.0,2024.0
878,Refsnyder,Rob,608701,refsr001,refsnro01,13770,2015.0,2024.0
885,Battenfield,Peyton,685410,battp001,battepe01,25777,2023.0,2023.0
890,Dezenzo,Zach,701305,dezez001,dezenza01,-1,2024.0,2024.0
891,Owings,Chris,572008,owinc001,owingch01,10030,2013.0,2023.0
902,Mercado,Michael,675650,mercm002,mercami01,-1,2024.0,2024.0
924,Misner,Kameron,670224,misnk001,misneka01,-1,2024.0,2024.0
925,Fairchild,Stuart,656413,fairs001,faircst01,20321,2021.0,2024.0
927,Pallante,Andre,669467,palla001,pallaan01,26108,2022.0,2024.0
929,Gomes,Yan,543228,gomey001,gomesya01,9627,2012.0,2024.0
941,Dodd,Dylan,689266,doddd001,dodddy01,29928,2023.0,2024.0
942,Westburg,Jordan,676059,westj002,westbjo01,27815,2023.0,2024.0
970,McKay,David,641853,mckad001,mckayda02,19814,2019.0,2022.0
976,Gomber,Austin,596295,gomba001,gombeau01,16561,2018.0,2024.0
992,Sullivan,Brett,664954,sullb001,sullibr01,18217,2023.0,2024.0
994,Motter,Taylor,600301,mottt001,motteta01,12399,2016.0,2023.0
999,Garza,Ralph,621248,garzr001,garzara01,17682,2021.0,2022.0
1027,Thaiss,Matt,642136,thaim001,thaisma01,19318,2019.0,2024.0
1041,Alvarez,R. J.,571439,alvar001,alvarrj01,13401,2014.0,2022.0
1058,Gilbert,Logan,669302,gilbl002,gilbelo01,22250,2021.0,2024.0
1073,Laureano,Ramón,657656,laurr001,laurera01,17128,2018.0,2024.0
1091,Nelson,Ryne,669194,nelsr003,nelsory01,26253,2022.0,2024.0
1119,Moore,McKinley,686842,moorm004,mooremc01,25663,2023.0,2023.0
1123,Guerrero,Luis,692285,guerl001,guerrlu01,-1,2024.0,2024.0
1125,Felipe,Angel,665734,felia001,felipan01,21163,2023.0,2023.0
1131,Peterson,Jace,607054,petej002,peterja01,12325,2014.0,2024.0
1140,Woodford,Jake,663765,woodj003,woodfja01,18674,2020.0,2024.0
1144,Soriano,George,666277,sorig001,soriage01,21863,2023.0,2024.0
1146,Erceg,Lucas,668674,ercel001,erceglu01,19360,2023.0,2024.0
1148,Aguilar,Jesús,542583,aguij001,aguilje01,11342,2014.0,2023.0
1155,Neal,Zach,594943,nealz001,nealza01,11294,2016.0,2023.0
1160,Yang,Eric,687066,yange001,yanger01,-1,2024.0,2024.0
1161,Calhoun,Willie,641432,calhw001,calhowi01,17838,2017.0,2024.0
1167,Molina,Anthony,683627,molia001,molinan01,26952,2024.0,2024.0
1169,Castillo,José,620454,castj007,castijo03,17169,2018.0,2023.0
1174,Contreras,Mark,676628,contm001,contrma01,20122,2022.0,2022.0
1204,Plassmeyer,Michael,674681,plasm001,plassmi01,23191,2022.0,2023.0
1226,Winder,Josh,680739,windj002,windejo01,24606,2022.0,2024.0
1228,Speas,Alex,666208,speaa001,speasal01,21859,2023.0,2024.0
1242,Martínez,Nick,607259,martn002,martini01,12730,2014.0,2024.0
1255,Jackson,Jay,543351,jackj001,jacksja01,7432,2015.0,2024.0
1282,Kershaw,Clayton,477132,kersc001,kershcl01,2036,2008.0,2024.0
1286,Castro,Miguel,612434,castm002,castrmi01,15684,2015.0,2024.0
1297,Steer,Spencer,668715,stees001,steersp01,26323,2022.0,2024.0
1343,Festa,Matt,670036,festm001,festama01,19330,2018.0,2024.0
1404,Taylor,Chris,621035,taylc001,tayloch03,13757,2014.0,2024.0
1432,Lemoine,Jacob,621082,lemoj001,lemoija01,19785,2022.0,2022.0
1439,Boyd,Matt,571510,boydm001,boydma01,15440,2015.0,2024.0
1484,Bolaños,Ronald,671790,bolar001,bolanro01,20041,2019.0,2022.0
1522,Upton,Justin,457708,uptoj001,uptonju01,5222,2007.0,2022.0
1537,Milone,Tommy,543548,milot001,milonto01,7608,2011.0,2023.0
1545,Eder,Jake,671109,ederj001,ederja01,-1,2024.0,2024.0
1546,López,Reynaldo,625643,loper003,lopezre01,16400,2016.0,2024.0
1547,Lee,Korey,686676,lee-k002,leeko01,25543,2022.0,2024.0
1565,Hentges,Sam,656529,hents001,hentgsa01,18548,2021.0,2024.0
1567,Kieboom,Carter,666198,kiebc001,kieboca01,19958,2019.0,2023.0
1568,Gallegos,Giovanny,606149,gallg001,gallegi01,14986,2017.0,2024.0
1580,González,Victor,624647,gonzv001,gonzavi02,16408,2020.0,2024.0
1593,Wall,Forrest,657088,wallf001,wallfo01,16496,2023.0,2024.0
1604,Matsui,Yuki,673513,matsy001,matsuyu01,33826,2024.0,2024.0
1654,Herrera,Iván,671056,herri001,herreiv01,20599,2022.0,2024.0
1658,Kriske,Brooks,621139,krisb001,kriskbr01,21189,2020.0,2023.0
1660,Ornelas,Jonathan,680716,ornej001,orneljo01,24597,2023.0,2024.0
1687,Sánchez,Cristopher,650911,sancc002,sanchcr01,20778,2021.0,2024.0
1698,Machín,Vimael,605353,machv001,machivi01,17684,2020.0,2022.0
