pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,year
FF,2025-08-01,,,,"DÃ­az, Edwin",642086,621242,single,hit_into_play,,,,,,R,L,R,NYM,SF,X,8.0,ground_ball,0,0,2025,,,,,642715.0,,,1,10,Top,117.56,125.25,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,77,1,4-Seam Fastball,3,3,3,3,4,3,4,3,,,,-0.134,0.445,,,,-0.445,,0,0,0.492,0.508,31,30,31,30,1,0,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Helsley, Ryan",646240,664854,single,hit_into_play,,,,,,R,L,R,NYM,SF,X,9.0,ground_ball,1,2,2025,,,,,,,672275.0,2,9,Top,157.97,148.35,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,71,4,4-Seam Fastball,3,3,3,3,3,3,3,3,,,,-0.05,0.431,,,,-0.431,,0,0,0.57,0.43,30,28,31,29,1,4,,,,,,,,,,,,,,2025
SL,2025-08-01,,,,"Helsley, Ryan",672275,664854,single,hit_into_play,,,,,,R,L,R,NYM,SF,X,8.0,line_drive,1,1,2025,,,,,,,,1,9,Top,132.56,98.48,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,69,3,Slider,3,3,3,3,3,3,3,3,,,,-0.06,0.434,,,,-0.434,,0,0,0.558,0.442,30,26,31,26,1,3,,,,,,,,,,,,,,2025
SI,2025-08-01,,,,"Lucchesi, Joey",665742,664192,single,hit_into_play,,,,,,R,L,L,NYM,SF,X,1.0,ground_ball,0,0,2025,,,,,,607043.0,596019.0,1,8,Bot,104.25,125.4,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,64,1,Sinker,1,3,1,3,3,2,2,3,,,,0.235,0.48,,,,-0.48,,-2,-2,0.244,0.244,32,26,32,27,1,3,,,,,,,,,,,,,,2025
SI,2025-08-01,,,,"Lucchesi, Joey",596019,664192,single,hit_into_play,,,,,,R,R,L,NYM,SF,X,9.0,line_drive,1,0,2025,,,,,,,607043.0,1,8,Bot,176.65,115.7,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,63,2,Sinker,1,3,1,3,3,1,1,3,,,,0.077,0.369,,,,-0.369,,-2,-2,0.167,0.167,32,31,32,32,1,3,,,,,,,,,,,,,,2025
CU,2025-08-01,,,,"Garcia, Rico",527038,670329,single,hit_into_play,,,,,,R,R,R,NYM,SF,X,5.0,ground_ball,0,1,2025,,,,,,,,1,8,Top,107.89,179.95,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,58,2,Curveball,1,3,3,1,3,1,3,1,,,,-0.012,0.458,,,,-0.458,,-2,2,0.141,0.859,31,33,31,34,1,3,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Ray, Robbie",643446,592662,double,hit_into_play,,,,,,R,L,L,NYM,SF,X,7.0,line_drive,2,1,2025,,,,,,,,2,7,Bot,97.16,94.97,,,,,,,,,,,,,,,,,,,776926,,,,1.25,,1.0,1.0,,55,4,4-Seam Fastball,1,3,1,3,3,1,1,3,,,,0.034,0.568,,,,-0.568,,-2,-2,0.145,0.145,33,33,34,33,3,2,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Ray, Robbie",624413,592662,home_run,hit_into_play,,,,,,R,R,L,NYM,SF,X,,fly_ball,2,0,2025,,,,,,,,0,7,Bot,166.89,36.67,,,,,,,,,,,,,,,,,,,776926,,,,2.0,,0.0,3.0,,52,3,4-Seam Fastball,0,3,0,3,3,1,1,3,,,,0.091,1.007,,,,-1.007,,-3,-3,0.118,0.118,33,30,34,31,3,2,,,,,,,,,,,,,,2025
SL,2025-08-01,,,,"Stanek, Ryne",672275,592773,double,hit_into_play,,,,,,R,L,R,NYM,SF,X,9.0,line_drive,0,2,2025,,,,,,808982.0,,1,7,Top,193.32,124.67,,,,,,,,,,,,,,,,,,,776926,,,,1.25,,1.0,1.0,,48,3,Slider,0,2,2,0,3,0,3,0,,,,-0.071,0.911,,,,-0.911,,-2,2,0.161,0.839,33,26,34,26,1,2,,,,,,,,,,,,,,2025
FS,2025-08-01,,,,"Stanek, Ryne",808982,592773,double,hit_into_play,,,,,,R,L,R,NYM,SF,X,9.0,ground_ball,1,1,2025,,,,,,,,0,7,Top,181.21,123.31,,,,,,,,,,,,,,,,,,,776926,,,,1.25,,1.0,1.0,,46,3,Split-Finger,0,2,2,0,2,0,2,0,,,,-0.042,0.705,,,,-0.705,,-2,2,0.176,0.824,33,26,34,27,1,2,,,,,,,,,,,,,,2025
KC,2025-08-01,,,,"Ray, Robbie",620443,592662,single,hit_into_play,,,,,,R,R,L,NYM,SF,X,8.0,ground_ball,0,0,2025,,,,,,,668901.0,2,5,Bot,125.47,105.57,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,38,1,Knuckle Curve,0,2,0,2,2,0,0,2,,,,0.028,0.357,,,,-0.357,,-2,-2,0.243,0.243,33,29,34,29,2,1,,,,,,,,,,,,,,2025
CH,2025-08-01,,,,"Ray, Robbie",668901,592662,single,hit_into_play,,,,,,R,R,L,NYM,SF,X,8.0,line_drive,0,1,2025,,,,,,,,1,5,Bot,120.99,110.74,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,36,2,Changeup,0,2,0,2,2,0,0,2,,,,0.036,0.458,,,,-0.458,,-2,-2,0.246,0.246,33,25,34,26,2,1,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Peterson, David",682641,656849,single,hit_into_play,,,,,,R,R,L,NYM,SF,X,8.0,ground_ball,0,2,2025,,,,,,,808982.0,2,4,Top,126.99,106.08,,,,,,,,,,,,,,,,,,,776926,,,,0.9,,1.0,0.0,,26,3,4-Seam Fastball,0,2,2,0,2,0,2,0,,,,-0.015,0.458,,,,-0.458,,-2,2,0.281,0.719,29,23,30,23,2,1,,,,,,,,,,,,,,2025
SI,2025-08-01,90.1,2.11,6.09,"Peterson, David",671218,656849,single,hit_into_play,,,,,2.0,R,R,L,NYM,SF,X,8.0,ground_ball,0,1,2025,1.29,0.58,0.06,2.99,,,,0,3,Top,116.34,113.17,,,,,-7.955058347973242,-130.88102845008706,-2.915200809607188,16.557473303501187,31.22048046653084,-25.09932942100361,3.17,1.5,12.0,100.0,-13.0,91.0,2151.0,7.2,776926,53.25,0.206,0.199,0.9,1.0,1.0,0.0,2.0,16,2,Sinker,0,2,2,0,2,0,2,0,Standard,Standard,152.0,-0.027,0.485,74.0,6.3,0.206,-0.485,100.0,-2,2,0.279,0.721,29,25,30,26,2,1,,,,,2.27,1.29,-1.29,,3.002652370070573,8.926219434726058,27.314617986441306,35.05924993344512,19.79546325941927,2025
SL,2025-08-01,84.3,2.56,5.81,"Peterson, David",669477,656849,double,hit_into_play,,,,,5.0,R,R,L,NYM,SF,X,7.0,line_drive,0,0,2025,-0.19,-0.05,-0.16,2.36,656305.0,,527038.0,0,2,Top,63.62,132.62,,,,,-6.066638005292676,-122.54649945189826,-1.488862923995617,-0.5859181363927396,26.062889408458407,-32.57256357428705,3.39,1.6,226.0,105.1,15.0,85.7,2181.0,7.4,776926,53.08,0.671,0.734,1.25,1.0,1.0,1.0,5.0,9,1,Slider,0,0,0,0,1,0,1,0,Standard,Standard,266.0,-0.107,0.68,76.5,7.7,1.065,-0.68,105.1,0,0,0.37,0.63,29,26,30,26,1,0,,,,,3.28,-0.19,0.19,,12.128294680872692,-16.805586505866327,37.373683291125765,28.819718241477947,38.17314358288093,2025
CH,2025-08-01,85.4,2.09,6.04,"Peterson, David",527038,656849,single,hit_into_play,,,,,9.0,R,R,L,NYM,SF,X,8.0,line_drive,0,1,2025,1.49,0.35,0.58,2.11,,,656305.0,0,2,Top,153.4,73.94,,,,,-6.667149395068512,-124.15834087202975,-3.665862861348833,16.760724162507294,26.197386684639568,-28.04118572958757,3.29,1.6,280.0,102.3,14.0,86.6,1679.0,7.2,776926,53.29,0.789,0.789,0.9,1.0,1.0,0.0,4.0,8,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,121.0,-0.092,0.492,,,1.062,-0.492,102.3,0,0,0.462,0.538,29,33,30,34,1,0,,,,,2.8,1.49,-1.49,,,,,,,2025
SI,2025-08-01,,,,"Doval, Camilo",669364,666808,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,9.0,ground_ball,1,0,2025,,,,,,691594.0,805300.0,1,9,Bot,180.93,111.71,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,91,2,Sinker,10,12,10,12,12,12,12,12,,,,0.637,0.45,,,,-0.45,,-2,-2,0.193,0.193,27,25,28,26,1,5,,,,,,,,,,,,,,2025
SL,2025-08-01,,,,"Doval, Camilo",691594,666808,single,hit_into_play,,,,,,R,R,R,MIA,NYY,X,7.0,line_drive,1,1,2025,,,,,,,,1,9,Bot,96.7,71.97,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,89,3,Slider,10,12,10,12,12,10,10,12,,,,0.06,0.434,,,,-0.434,,-2,-2,0.043,0.043,27,22,28,23,1,4,,,,,,,,,,,,,,2025
ST,2025-08-01,,,,"Bender, Anthony",683011,669622,double,hit_into_play,,,,,,R,R,R,MIA,NYY,X,8.0,fly_ball,2,1,2025,,,,,,,641857.0,2,9,Top,124.78,40.26,,,,,,,,,,,,,,,,,,,776925,,,,1.25,,1.0,1.0,,86,4,Sweeper,10,11,11,10,12,10,12,10,,,,-0.102,0.829,,,,-0.829,,-1,1,0.177,0.823,30,24,30,24,1,4,,,,,,,,,,,,,,2025
ST,2025-08-01,,,,"Bender, Anthony",641857,669622,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,8.0,ground_ball,3,2,2025,,,,,,676609.0,,2,9,Top,151.27,96.58,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,85,6,Sweeper,10,10,10,10,11,10,11,10,,,,-0.353,0.674,,,,-0.674,,0,0,0.53,0.47,30,30,30,31,1,4,,,,,,,,,,,,,,2025
SI,2025-08-01,,,,"Bender, Anthony",700250,669622,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,9.0,ground_ball,2,2,2025,,,,,,,,2,9,Top,185.77,112.31,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,84,5,Sinker,10,10,10,10,10,10,10,10,,,,-0.032,0.37,,,,-0.37,,0,0,0.602,0.398,30,26,30,26,1,0,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Bachar, Lake",683011,669199,home_run,hit_into_play,,,,,,R,R,R,MIA,NYY,X,,fly_ball,2,2,2025,,,,,,,,0,8,Top,26.2,59.86,,,,,,,,,,,,,,,,,,,776925,,,,2.0,,0.0,3.0,,74,5,4-Seam Fastball,10,9,9,10,10,10,10,10,,,,-0.253,1.142,,,,-1.142,,1,-1,0.753,0.247,30,24,30,24,1,3,,,,,,,,,,,,,,2025
FS,2025-08-01,,,,"Bednar, David",682663,670280,single,hit_into_play,,,,,,R,R,R,MIA,NYY,X,7.0,line_drive,0,0,2025,,,,,805300.0,,669364.0,2,7,Bot,75.3,83.89,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,72,1,Split-Finger,9,9,9,9,9,10,10,9,,,,0.208,0.616,,,,-0.616,,0,0,0.587,0.587,30,23,31,24,1,4,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Bednar, David",669364,670280,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,6.0,ground_ball,2,0,2025,,,,,,805300.0,,2,7,Bot,127.67,164.35,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,71,3,4-Seam Fastball,9,9,9,9,9,9,9,9,,,,0.023,0.634,,,,-0.634,,0,0,0.564,0.564,30,25,31,26,1,4,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Bednar, David",805300,670280,double,hit_into_play,,,,,,R,L,R,MIA,NYY,X,8.0,line_drive,2,2,2025,,,,,,,,2,7,Bot,147.29,42.41,,,,,,,,,,,,,,,,,,,776925,,,,1.25,,1.0,1.0,,70,5,4-Seam Fastball,9,9,9,9,9,9,9,9,,,,0.044,0.651,,,,-0.651,,0,0,0.52,0.52,30,24,31,24,1,3,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Bednar, David",691594,670280,home_run,hit_into_play,,,,,,R,R,R,MIA,NYY,X,,line_drive,0,0,2025,,,,,,,,2,7,Bot,16.46,90.9,,,,,,,,,,,,,,,,,,,776925,,,,2.0,,0.0,3.0,,69,1,4-Seam Fastball,8,9,8,9,9,9,9,9,,,,0.25,2.594,,,,-2.594,,-1,-1,0.27,0.27,30,22,31,23,1,3,,,,,,,,,,,,,,2025
SI,2025-08-01,,,,"Bird, Jake",669065,656234,home_run,hit_into_play,,,,,,R,L,R,MIA,NYY,X,,fly_ball,1,0,2025,,,,,682663.0,672640.0,689414.0,1,7,Bot,34.98,85.23,,,,,,,,,,,,,,,,,,,776925,,,,2.0,,0.0,3.0,,67,2,Sinker,4,9,4,9,9,8,8,9,,,,0.211,0.934,,,,-0.934,,-5,-5,0.094,0.094,29,27,30,27,1,3,,,,,,,,,,,,,,2025
ST,2025-08-01,,,,"Bird, Jake",672640,656234,single,hit_into_play,,,,,,R,R,R,MIA,NYY,X,7.0,line_drive,1,1,2025,,,,,,,682663.0,1,7,Bot,54.56,108.43,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,65,3,Sweeper,4,9,4,9,9,4,4,9,,,,0.038,0.416,,,,-0.416,,-5,-5,0.034,0.034,29,26,30,27,1,3,,,,,,,,,,,,,,2025
SI,2025-08-01,,,,"Bird, Jake",682663,656234,single,hit_into_play,,,,,,R,R,R,MIA,NYY,X,9.0,fly_ball,1,2,2025,,,,,,,,0,7,Bot,210.24,85.85,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,63,4,Sinker,4,9,4,9,9,4,4,9,,,,0.019,0.516,,,,-0.516,,-5,-5,0.033,0.033,29,23,30,24,1,3,,,,,,,,,,,,,,2025
CH,2025-08-01,,,,"Bellozo, Valente",665862,678368,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,4.0,ground_ball,0,0,2025,,,,,,,691176.0,2,7,Top,167.01,152.85,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,60,1,Changeup,4,9,9,4,9,4,9,4,,,,-0.003,0.357,,,,-0.357,,-5,5,0.031,0.969,25,27,25,27,2,3,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"Bellozo, Valente",691176,678368,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,9.0,ground_ball,3,2,2025,,,,,,,,0,7,Top,188.79,115.34,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,57,6,4-Seam Fastball,4,9,9,4,9,4,9,4,,,,-0.004,0.369,,,,-0.369,,-5,5,0.028,0.972,25,22,25,22,1,3,,,,,,,,,,,,,,2025
CH,2025-08-01,,,,"Bellozo, Valente",663757,678368,home_run,hit_into_play,,,,,,R,L,R,MIA,NYY,X,,fly_ball,3,2,2025,,,,,683011.0,,669224.0,0,7,Top,226.0,106.0,,,,,,,,,,,,,,,,,,,776925,,,,2.0,,0.0,3.0,,56,6,Changeup,4,6,6,4,9,4,9,4,,,,-0.069,0.986,,,,-0.986,,-2,2,0.097,0.903,25,28,25,29,1,3,,,,,,,,,,,,,,2025
FC,2025-08-01,,,,"Bellozo, Valente",669224,678368,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,5.0,line_drive,1,1,2025,,,,,,,683011.0,0,7,Top,92.58,100.81,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,55,3,Cutter,4,6,6,4,6,4,6,4,,,,-0.056,0.457,,,,-0.457,,-2,2,0.153,0.847,25,25,25,26,1,2,,,,,,,,,,,,,,2025
ST,2025-08-01,,,,"Bellozo, Valente",683011,678368,single,hit_into_play,,,,,,R,R,R,MIA,NYY,X,7.0,line_drive,0,0,2025,,,,,,,,0,7,Top,52.95,102.81,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,54,1,Sweeper,4,6,6,4,6,4,6,4,,,,-0.023,0.448,,,,-0.448,,-2,2,0.176,0.824,25,24,25,24,1,2,,,,,,,,,,,,,,2025
CH,2025-08-01,,,,"LoÃ¡isiga, Jonathan",689414,642528,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,8.0,fly_ball,2,2,2025,,,,,669364.0,681715.0,672640.0,2,5,Bot,103.72,105.59,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,45,6,Changeup,2,6,2,6,6,4,4,6,,,,0.138,0.532,,,,-0.532,,-4,-4,0.139,0.139,30,26,31,26,1,0,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"RodÃ³n, Carlos",691594,607074,home_run,hit_into_play,,,,,,R,R,L,MIA,NYY,X,,fly_ball,1,1,2025,,,,,,,676572.0,0,5,Bot,230.55,92.34,,,,,,,,,,,,,,,,,,,776925,,,,2.0,,0.0,3.0,,39,3,4-Seam Fastball,0,6,0,6,6,2,2,6,,,,0.057,1.063,,,,-1.063,,-6,-6,0.054,0.054,32,22,33,23,2,1,,,,,,,,,,,,,,2025
FF,2025-08-01,,,,"RodÃ³n, Carlos",676572,607074,single,hit_into_play,,,,,,R,R,L,MIA,NYY,X,7.0,line_drive,3,2,2025,,,,,,,,0,5,Bot,70.43,100.09,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,38,6,4-Seam Fastball,0,6,0,6,6,0,0,6,,,,0.015,0.369,,,,-0.369,,-6,-6,0.039,0.039,32,27,33,28,2,1,,,,,,,,,,,,,,2025
CU,2025-08-01,,,,"Junk, Janson",641355,676083,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,9.0,ground_ball,1,2,2025,,,,,663757.0,691176.0,,2,5,Top,191.21,112.31,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,36,5,Curveball,0,4,4,0,6,0,6,0,,,,-0.058,0.808,,,,-0.808,,-4,4,0.092,0.908,29,29,29,30,3,2,,,,,,,,,,,,,,2025
CU,2025-08-01,,,,"Junk, Janson",691176,676083,single,hit_into_play,,,,,,R,L,R,MIA,NYY,X,8.0,line_drive,0,0,2025,,,,,,683011.0,663757.0,2,5,Top,148.81,87.32,,,,,,,,,,,,,,,,,,,776925,,,,0.9,,1.0,0.0,,35,1,Curveball,0,3,3,0,4,0,4,0,,,,-0.062,0.564,,,,-0.564,,-3,3,0.157,0.843,29,22,29,22,3,2,,,,,,,,,,,,,,2025
