name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
miller,owen,680911,millo002,milleow01,24655,2021.0,2024.0
edman,tommy,669242,edmat001,edmanto01,19470,2019.0,2024.0
castillo,diego,660636,castd004,castidi02,19906,2022.0,2024.0
schneider,davis,676914,schnd001,schneda03,23565,2023.0,2024.0
lopez,nicky,670032,lopen001,lopezni01,19339,2019.0,2024.0
lowe,brandon,664040,loweb001,lowebr01,18882,2018.0,2024.0
goodman,hunter,696100,goodh001,goodmhu01,29715,2023.0,2024.0
olivares,edward,658668,olive001,olivaed02,19698,2020.0,2024.0
locastro,tim,641796,locat001,locasti01,15124,2017.0,2023.0
plawecki,kevin,608700,plawk001,plaweke01,13807,2015.0,2022.0
chourio,jackson,694192,chouj001,chourja01,28806,2024.0,2024.0
campero,gustavo,672569,campg001,campegu01,-1,2024.0,2024.0
cabrera,oswaldo,665828,cabro002,cabreos01,21707,2022.0,2024.0
tsutsugo,yoshi,660294,tsuty001,tsutsyo01,27459,2020.0,2022.0
witt,bobby,677951,wittb002,wittbo02,25764,2022.0,2024.0
lowrie,jed,476704,lowrj001,lowrije01,4418,2008.0,2022.0
bote,david,623520,boted002,boteda01,14593,2018.0,2024.0
winker,jesse,608385,winkj002,winkeje01,13590,2017.0,2024.0
wisdom,patrick,621550,wisdp001,wisdopa01,13602,2018.0,2024.0
kreidler,ryan,668952,kreir001,kreidry01,25867,2022.0,2024.0
davidson,matt,571602,davim005,davidma02,7226,2013.0,2022.0
lester,josh,623507,lestj002,lestejo02,17737,2022.0,2023.0
rutschman,adley,668939,rutsa001,rutscad01,26288,2022.0,2024.0
thompson,trayce,572204,thomt002,thomptr01,9952,2015.0,2023.0
manzardo,kyle,700932,manzk001,manzaky01,-1,2024.0,2024.0
judge,aaron,592450,judga001,judgeaa01,15640,2016.0,2024.0
stallings,jacob,607732,stalj001,stallja01,13723,2016.0,2024.0
burdick,peyton,680814,burdp001,burdipe01,25459,2022.0,2023.0
nootbaar,lars,663457,nootl001,nootbla01,21454,2021.0,2024.0
lemahieu,dj,518934,lemad001,lemahdj01,9874,2011.0,2024.0
reyes,víctor,622682,reyev001,reyesvi01,15487,2018.0,2022.0
dunand,joe,656388,dunaj001,dunanjo01,19727,2022.0,2022.0
jackson,alex,656577,jacka002,jacksal02,17276,2019.0,2024.0
longoria,evan,446334,longe001,longoev01,9368,2008.0,2023.0
langford,wyatt,694671,langw001,langfwy01,33333,2024.0,2024.0
polanco,jorge,593871,polaj001,polanjo01,13152,2014.0,2024.0
kirk,alejandro,672386,kirka001,kirkal01,22581,2020.0,2024.0
refsnyder,rob,608701,refsr001,refsnro01,13770,2015.0,2024.0
dezenzo,zach,701305,dezez001,dezenza01,-1,2024.0,2024.0
owings,chris,572008,owinc001,owingch01,10030,2013.0,2023.0
misner,kameron,670224,misnk001,misneka01,-1,2024.0,2024.0
fairchild,stuart,656413,fairs001,faircst01,20321,2021.0,2024.0
gomes,yan,543228,gomey001,gomesya01,9627,2012.0,2024.0
westburg,jordan,676059,westj002,westbjo01,27815,2023.0,2024.0
sullivan,brett,664954,sullb001,sullibr01,18217,2023.0,2024.0
motter,taylor,600301,mottt001,motteta01,12399,2016.0,2023.0
thaiss,matt,642136,thaim001,thaisma01,19318,2019.0,2024.0
laureano,ramón,657656,laurr001,laurera01,17128,2018.0,2024.0
peterson,jace,607054,petej002,peterja01,12325,2014.0,2024.0
